Store_Name,Address,Location,Timings,Rating_(reviewers),Phone
Ashok Rajpath,"Ground Floor, Ashok Rajpath, Near Pmch Gate Number 2, Ashok Rajpath, Opposite Bihar Youth Men'S Institute, Patna, Bihar, 800004",Bihar,10:30 AM to 08:30 PM, 4.6  (773) ,9582952507
Jamui,"Ground Floor, AAS Hotal, kachari Road, Jamui, Bihar, 811307",Bihar,10:30 AM to 08:30 PM, 4.9  (299) ,8744060205
Bettiah,"Banuchapar, N H 28, Supriya Cinema Road, West Champaran, Near St. Joseph School, Bettiah, Bihar, 845438",Bihar,10:00 AM to 08:00 PM, 4.8  (677) ,8447745709
Kurji Road,"Circle 247B, Holding 817A/2, Patliputra Circle, Ward 22B, Kurji Road, Kurji Road, Opposite Rbi Quarter, Patna, Bihar, 800010",Bihar,10:30 AM to 08:30 PM, 4.9  (1094) ,8447732746
West Boring Canal Road,"Shop No 22, Jagdish Lok Apartment, , West Boring Canal Road, Near Harilal'S Sweets, Patna, Bihar, 800001",Bihar,11:00 AM to 09:00 PM, 4.6  (953) ,7428890080
Samastipur,"Main Road, Mohanpur, Mohanpur, Near Reliance Trends, Samastipur, Bihar, 848101",Bihar,10:00 AM to 08:00 PM, 4.9  (726) ,8929170401
Dakbunglow Road,"Shop No 143, Ground Floor, Block C, Mauryalok Complex, Dak Bunglow Road, Near Police Station Kotwali, Patna, Bihar, 800001",Bihar,10:30 AM to 09:00 PM, 4.8  (1069) ,7428890113
Laheriasarai,"Laheriasarai Tower, Vip Road , Laheriasarai, Opposite Petrol Pump, Darbhanga, Bihar, 846001",Bihar,10:30 AM to 09:00 PM, 4.9  (762) ,8929337387
Kankarbagh,"Sn 4, Moti Mansion Apartment, Road No 2, Pc Colony, Kankarbagh, Opposite Apollo Trauma Centre, Patna, Bihar, 800020",Bihar,11:00 AM to 09:00 PM, 4.2  (737) ,7428890151
Ashiana,"Ground Floor, Khata No 708, Ashiana Digha Road, Near Passport Office , Beside Aditya Vision, Patna, Bihar, 800014",Bihar,10:30 AM to 08:30 PM, 4.8  (700) ,8447822872
Saguna More,"Saguna More, Khagaul Road, Front of Panache Banquet, Patna, Bihar, 801503",Bihar,10:30 AM to 08:30 PM, 4.8  (1029) ,8929438840
Gaya Bihar,"House No Gm001/1374, Ward No 22, Gb Road, Near Zila School, Gb Road, In Front Of Mvi Office, Gaya, Bihar, 823001",Bihar,10:30 AM to 08:30 PM, 4.8  (295) ,9643855328
Arrah,"Ground Floor, Krishn Kutri, Pakri, Katira More Road, Bhojpur, Arrah, Near Aditya Vision, Arrah, Bihar, 802301",Bihar,10:30 AM to 09:00 PM, 4.9  (451) ,8929100813
Hajipur,"Khata No 476, Khesra No 693, Anwapur Chowk, Cinema Road, Hajipur, Bihar, 844101",Bihar,10:00 AM to 08:30 PM, 4.9  (815) ,9625530530
RN Shaw Chowk,"Hotel Holiday International, Shiv Shakti Enterprises, Rn Shaw Chowk, Opposite Roopbani Cinema, Purnia, Bihar, 854301",Bihar,10:30 AM to 08:30 PM, 4.5  (292) ,7428890223
Sampatchak,"Ground Floor, Gopalpur Thana, Near Reliance Trends, Sampatchak, Patna, Bihar, 800007",Bihar,10:00 AM to 08:00 PM, 4.9  (72) ,9582921302
Nala Road,"R K Avenue, Nala Road, Near Durga Mandir, Patna, Bihar, 800004",Bihar,11:00 AM to 09:00 PM, 4.7  (461) ,7428890246
Rajeev Nagar,"Shyam Smirti Enclave, Rajeev Nagar, Near V Mart, Patna, Bihar, 800024",Bihar,10:30 AM to 08:30 PM, 4.9  (463) ,8929328703
Raja Bazar,"Shop No 4, Ground Floor, Rk Estate, Pillar 62, Raja Bazar, Opposite Igims, Patna, Bihar, 800014",Bihar,10:30 AM to 09:00 PM, 4.7  (603) ,7428890255
Motihari,"Bank Road, Chhatauni, Mega Mall, Rajendra Nagar, Motihari, Chhatauni, In Front Of Rehman Hospital, Champaran, Bihar, 845401",Bihar,10:00 AM to 08:00 PM, 4.9  (1091) ,7303743744
"Club Road, Muzaffarpur","Savita Complex, Mithanpura, Club Road, Ramna, Mithanpura, Opposite Mddm College, Muzaffarpur, Bihar, 842002",Bihar,10:30 AM to 08:30 PM, 4.8  (901) ,7428890274
Buxar,"Main Road Chowk, Thatheri Bazar, Near Reliance Trends, Buxar, Bihar, 802101",Bihar,10:30 AM to 08:30 PM, 4.9  (788) ,8929334374
Khaliphabag Chowk,"Shop No G5, Anshi Series City Complex, , Khaliphabag Chowk, Near Police Station Kotwali, Bhagalpur, Bihar, 812001",Bihar,10:30 AM to 08:30 PM, 4.9  (1552) ,7428890293
Anisabad,"Sumaya Residency, Ground Floor, Shop Bearing Nos G2 And G3, Khagaul Road, Phulwarisharif, Near Mahavir Institute And Research Centre, Patna, Bihar, 801505",Bihar,10:30 AM to 08:30 PM, 4.9  (359) ,8447918928
Aurangabad,"Mg Road, Near Bank Of India, Mg Road, Aurangabad, Bihar, 824101",Bihar,10:30 AM to 08:30 PM, 4.9  (452) ,8929160805
Phulwarisharif,"Ground Floor, Opposite Citycart, Golamber, Phulwarisharif, Patna, Bihar, 801505",Bihar,10:30 AM to 08:30 PM, 4.9  (90) ,9953648294
Mirzapur,"Ward No 20, Lalbagh, Mirzapur, Near Poonam Cinema, Darbhanga, Bihar, 846004",Bihar,10:00 AM to 08:00 PM, 4.9  (487) ,9582370306
Panchkula,"Ground Floor, SCO 57, Swastik Vihar, MDC 5, Sector 5, Panchkula, Chandigarh, 160101",Chandigarh,11:00 AM to 09:00 PM,,1724682428
Sector 22C,"Shop No 39, Sector 22C, Sector 22C, Near Aroma Hotel, Chandigarh, Punjab, 160022",Chandigarh,11:00 AM to 09:30 PM, 4.8  (140) ,7065041132
Sector 7C,"Sco38, Inner Market, Sector 7C, Chandigarh, Near Punjab And Sindh Bank, Chandigarh, Punjab, 160019",Chandigarh,11:00 AM to 09:00 PM, 4.8  (134) ,8929337307
Sector 40C,"Sco 94, Basement & Ground Floor, Sector 40C, Chandigarh, Punjab, 160036",Chandigarh,11:00 AM to 09:30 PM, 4.6  (196) ,8929337340
Sector 47D,"Sco 45, Ground Floor, Sector 47D, Hdfc Bank, Chandigarh, Punjab, 160047",Chandigarh,11:00 AM to 09:00 PM, 4.7  (263) ,8929183103
"Sector 35C, Chandigarh","Grond Floor, Sector 35 C, Sco 407-408, Chandigarh, Punjab, 160035",Chandigarh,11:00 AM to 09:30 PM, 4.7  (489) ,8447745872
"Sector 19C, Chandigarh","Sco 22, Sector 19C, Sector 19C, Near Palika Bazar, Chandigarh, Punjab, 160019",Chandigarh,11:00 AM to 09:30 PM, 4.8  (676) ,8929976857
Sector 15C,"Sco 22, Sector 15-C, Sector 15C, Chandigarh, Punjab, 160015",Chandigarh,11:00 AM to 09:30 PM, 4.8  (501) ,8929913462
Elante Mall,"Shop No 228 A, 2Nd Floor, Unit No 1, Industrial Area, Elante Mall, Chandigarh, Punjab, 160002",Chandigarh,11:00 AM to 09:30 PM, 4.5  (514) ,7428891072
Mudichur,"No 20, Rathana Complex, Sri Ram Nagar, Mudichur Road, Tambaram West, Mudichur, Next To More Supre Market, Chennai, Tamil Nadu, 600045",Chennai,11:00 AM to 09:30 PM, 4.9  (1175) ,9319372753
Nungambakkam,"Door No 125/1, Rose Wood Office, Nungambakkam High Road, Nungambakkam, Opposite Teresa Church, Chennai, Tamil Nadu, 600034",Chennai,11:00 AM to 09:30 PM, 4.9  (1882) ,8929346301
Jawahar Nagar,"Plot No B95, Old Door 37, New Door 22, First Main Road, Jawahar Nagar, Near Max Showroom, Chennai, Tamil Nadu, 600082",Chennai,11:00 AM to 09:30 PM, 4.9  (1081) ,7428891107
Perumbakkam,"G1, Plot No 3, Vgp Prabhu Nagar, Perumbakkam, Opposite Advent Church, Chennai, Tamil Nadu, 600100",Chennai,11:00 AM to 09:30 PM, 4.9  (1620) ,7428891108
100ft Bypass Road Velachery,"No 1 & 2 Main Road, Venkateswara Nagar, 100Ft Bypass Road, Velachery, Chennai, Tamil Nadu, 600042",Chennai,11:00 AM to 09:30 PM, 4.9  (1368) ,8929345177
Saligramam,"No 71, 1, Arcot Road, Vadapalani, Vadapalani, Chennai, Tamil Nadu, 600026",Chennai,11:00 AM to 09:30 PM, 4.9  (2064) ,7303440441
Redhills,"183/16 Gnt Road, Redhills, Near Annamalai Cell City, Chennai, Tamil Nadu, 600052",Chennai,10:30 AM to 09:30 PM, 4.9  (1324) ,9319372360
Nanganallur,"38/13, 1St Main Road, Macmillan Colony, Nanganallur, Chennai, Tamil Nadu, 600061",Chennai,11:00 AM to 09:30 PM, 4.9  (3355) ,9667253254
Perambur Moolakadai,"No 14, Madhavaram High Road Sembiam, Moolakadai, Perambur Road, Madhavaram, Opposite Simpon Gate No 1, Chennai, Tamil Nadu, 600011",Chennai,11:00 AM to 09:30 PM, 4.9  (1817) ,8929328704
Selaiyur,"27, Agaram Main Road, Ranganatha Nagar, Selaiyur, Chennai, Tamil Nadu, 600073",Chennai,11:00 AM to 09:30 PM, 4.9  (1327) ,9319375434
Kandanchavadi,"New No 08, Old No 6/169 Mgr Main Road, Govindaswamy Nagar 5Th Street, Kandanchavadi, Next To Gem Hospital, Chennai, Tamil Nadu, 600096",Chennai,11:00 AM to 09:30 PM, 5.0  (1201) ,7065043626
Kanathur,"# 415, Ecr Road, Next To Amet University, Kanathur, Chennai, 603112",Chennai,11:00 AM to 09:00 PM, 4.9  (475) ,8929347327
"Ashok Nagar, Chennai","Shop No 38 (Old) 60 (New), Ground Floor, Jai Durga Apartment, Ashok Nagar, Chennai, Hot Chips, 1St Avenue, Chennai, Tamil Nadu, 600083",Chennai,11:00 AM to 09:30 PM, 4.9  (1806) ,7428891139
Urapakkam,"Urapakkam Flyover, Sri Balaji Nagar, Urapakkam, Perungalathur, Urapakkam, Chennai, Tamil Nadu, 603211",Chennai,11:00 AM to 09:30 PM, 4.9  (943) ,8447745638
Thiruvottiyur,"Shop No 93, Ssm Complex, Rajakadai, Thiruvottiyur, Opposite Rohit Hospital, Chennai, Tamil Nadu, 600019",Chennai,11:00 AM to 09:00 PM, 4.9  (1662) ,7428891142
